"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","144.52118","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","133.27303","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","121.58563","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","140.75137","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","133.12703","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","128.77705","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","127.42685","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","127.50112","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701900.0","1445000.0","127.96494","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702000.0","1445000.0","127.85965","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702100.0","1445000.0","126.45205","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702200.0","1445000.0","122.98937","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702300.0","1445000.0","116.94833","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702400.0","1445000.0","107.99186","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010602.0"
"702500.0","1445000.0","98.0396","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702600.0","1445000.0","108.46838","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702700.0","1445000.0","132.79627","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702800.0","1445000.0","150.39937","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702900.0","1445000.0","157.46919","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703000.0","1445000.0","152.55671","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703100.0","1445000.0","137.18638","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703200.0","1445000.0","134.40947","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703300.0","1445000.0","114.80095","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703400.0","1445000.0","121.29365","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","117.15589","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703600.0","1445000.0","131.10751","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703700.0","1445000.0","160.44568","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703800.0","1445000.0","172.42279","0.0","0.0","180.0","1-HR","ALL","1ST","UCART1","14010219.0"
