"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","122.89937","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","112.95623","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","102.6006","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","90.8571","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","82.9125","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","76.0561","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","110.85122","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","104.2101","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701900.0","1445000.0","107.82816","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","120.67976","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","121.36172","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","111.63671","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","96.05058","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","88.18948","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702500.0","1445000.0","109.81264","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702600.0","1445000.0","121.7725","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702700.0","1445000.0","150.92978","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702800.0","1445000.0","179.78409","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702900.0","1445000.0","199.30776","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703000.0","1445000.0","204.85146","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703100.0","1445000.0","188.09796","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703200.0","1445000.0","163.47463","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703300.0","1445000.0","130.54107","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703400.0","1445000.0","98.79223","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","93.64377","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703600.0","1445000.0","129.47833","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703700.0","1445000.0","168.83361","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703800.0","1445000.0","194.81037","0.0","0.0","160.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703900.0","1445000.0","196.57571","0.3","0.3","160.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704000.0","1445000.0","166.53163","4.7","4.7","160.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704100.0","1445000.0","185.58414","5.0","5.0","160.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704200.0","1445000.0","208.23894","0.9","0.9","160.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704300.0","1445000.0","188.49789","6.2","6.2","160.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704400.0","1445000.0","184.8193","6.7","6.7","160.0","1-HR","ALL","1ST","UCART1","14010819.0"
"704500.0","1445000.0","193.11882","5.4","5.4","160.0","1-HR","ALL","1ST","UCART1","14010819.0"
