"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","51.77833","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701200.0","1445000.0","47.18258","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701300.0","1445000.0","83.26216","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","34.35404","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701500.0","1445000.0","32.83919","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701600.0","1445000.0","34.24518","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701700.0","1445000.0","32.11448","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701800.0","1445000.0","35.83171","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701900.0","1445000.0","43.04814","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","49.24231","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","53.61638","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","55.57893","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","54.9892","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","52.2689","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702500.0","1445000.0","48.40083","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702600.0","1445000.0","45.73792","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"702700.0","1445000.0","48.52958","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010118.0"
"702800.0","1445000.0","50.28339","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010118.0"
"702900.0","1445000.0","51.24756","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"703000.0","1445000.0","51.94124","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010124.0"
"703100.0","1445000.0","50.01734","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703200.0","1445000.0","53.30281","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703300.0","1445000.0","55.18035","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703400.0","1445000.0","54.59068","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","55.52268","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703600.0","1445000.0","74.32055","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703700.0","1445000.0","62.11653","0.0","0.0","60.0","1-HR","ALL","1ST","UCART1","14010221.0"
