"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","132.60639","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","125.49914","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","114.48565","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","105.59954","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","95.62236","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","84.62048","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","73.56264","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","86.3563","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701900.0","1445000.0","108.01472","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","121.72176","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","125.0021","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","118.75057","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","100.79139","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","86.14512","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702500.0","1445000.0","107.20589","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702600.0","1445000.0","121.85918","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702700.0","1445000.0","142.38866","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702800.0","1445000.0","175.33065","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"702900.0","1445000.0","201.75822","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703000.0","1445000.0","208.78264","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703100.0","1445000.0","204.57336","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703200.0","1445000.0","182.38201","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703300.0","1445000.0","147.48441","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703400.0","1445000.0","120.15443","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703500.0","1445000.0","84.5138","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703600.0","1445000.0","126.70829","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703700.0","1445000.0","170.79621","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703800.0","1445000.0","204.32662","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703900.0","1445000.0","210.03692","0.3","0.3","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704000.0","1445000.0","188.68043","4.7","4.7","150.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704100.0","1445000.0","201.35498","5.0","5.0","150.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704200.0","1445000.0","226.79251","0.9","0.9","150.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704300.0","1445000.0","209.56263","6.2","6.2","150.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704400.0","1445000.0","203.97929","6.7","6.7","150.0","1-HR","ALL","1ST","UCART1","14010819.0"
"704500.0","1445000.0","221.29339","5.4","5.4","150.0","1-HR","ALL","1ST","UCART1","14010819.0"
"704600.0","1445000.0","197.97106","0.4","0.4","150.0","1-HR","ALL","1ST","UCART1","14010304.0"
"704700.0","1445000.0","215.23399","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010304.0"
"704800.0","1445000.0","197.10095","0.0","0.0","150.0","1-HR","ALL","1ST","UCART1","14010304.0"
"704900.0","1445000.0","204.97176","0.0","16.0","150.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705000.0","1445000.0","189.73735","4.2","16.0","150.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705100.0","1445000.0","153.67728","9.0","9.0","150.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705200.0","1445000.0","148.58713","12.6","12.6","150.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705300.0","1445000.0","138.12579","11.9","11.9","150.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705400.0","1445000.0","145.27107","9.2","9.2","150.0","1-HR","ALL","1ST","UCART1","14010306.0"
