"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","134.54072","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","147.12315","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","154.03718","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","151.96295","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","139.31233","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","117.91983","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","92.75147","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","69.50181","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701900.0","1445000.0","77.80393","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","94.9555","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","109.49965","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","113.65831","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","116.98627","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","111.69853","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702500.0","1445000.0","97.39883","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702600.0","1445000.0","97.65902","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702700.0","1445000.0","110.76291","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702800.0","1445000.0","115.78339","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702900.0","1445000.0","130.72418","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010704.0"
"703000.0","1445000.0","142.39429","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703100.0","1445000.0","146.85052","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010705.0"
"703200.0","1445000.0","147.28939","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010705.0"
"703300.0","1445000.0","145.86629","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703400.0","1445000.0","152.3071","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703500.0","1445000.0","126.1983","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703600.0","1445000.0","86.93829","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010105.0"
"703700.0","1445000.0","111.38974","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010105.0"
"703800.0","1445000.0","134.60887","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010219.0"
"703900.0","1445000.0","149.69925","0.3","0.3","120.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704000.0","1445000.0","151.47436","4.7","4.7","120.0","1-HR","ALL","1ST","UCART1","14010219.0"
"704100.0","1445000.0","138.00911","5.0","5.0","120.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704200.0","1445000.0","157.66522","0.9","0.9","120.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704300.0","1445000.0","170.65269","6.2","6.2","120.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704400.0","1445000.0","180.80689","6.7","6.7","120.0","1-HR","ALL","1ST","UCART1","14010807.0"
"704500.0","1445000.0","169.20824","5.4","5.4","120.0","1-HR","ALL","1ST","UCART1","14010819.0"
"704600.0","1445000.0","146.52022","0.4","0.4","120.0","1-HR","ALL","1ST","UCART1","14010819.0"
"704700.0","1445000.0","171.09202","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010123.0"
"704800.0","1445000.0","165.1103","0.0","0.0","120.0","1-HR","ALL","1ST","UCART1","14010207.0"
"704900.0","1445000.0","156.56823","0.0","16.0","120.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705000.0","1445000.0","151.30273","4.2","16.0","120.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705100.0","1445000.0","124.50571","9.0","9.0","120.0","1-HR","ALL","1ST","UCART1","14010305.0"
"705200.0","1445000.0","121.0772","12.6","12.6","120.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705300.0","1445000.0","113.91289","11.9","11.9","120.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705400.0","1445000.0","120.2643","9.2","9.2","120.0","1-HR","ALL","1ST","UCART1","14010306.0"
"705500.0","1445000.0","127.37389","9.2","9.2","120.0","1-HR","ALL","1ST","UCART1","14010307.0"
"705600.0","1445000.0","143.81849","7.4","7.4","120.0","1-HR","ALL","1ST","UCART1","14010201.0"
"705700.0","1445000.0","161.21855","8.4","8.4","120.0","1-HR","ALL","1ST","UCART1","14010824.0"
"705800.0","1445000.0","167.30428","7.3","7.3","120.0","1-HR","ALL","1ST","UCART1","14010824.0"
"705900.0","1445000.0","167.33558","5.4","5.4","120.0","1-HR","ALL","1ST","UCART1","14010106.0"
"706000.0","1445000.0","152.84079","5.8","5.8","120.0","1-HR","ALL","1ST","UCART1","14010106.0"
"706100.0","1445000.0","113.26937","4.2","4.2","120.0","1-HR","ALL","1ST","UCART1","14010106.0"
"706200.0","1445000.0","100.11683","5.0","5.0","120.0","1-HR","ALL","1ST","UCART1","14010302.0"
"706300.0","1445000.0","121.69849","7.6","7.6","120.0","1-HR","ALL","1ST","UCART1","14010302.0"
"706400.0","1445000.0","128.41708","7.2","7.2","120.0","1-HR","ALL","1ST","UCART1","14010302.0"
"706500.0","1445000.0","122.57444","7.8","7.8","120.0","1-HR","ALL","1ST","UCART1","14010302.0"
"706600.0","1445000.0","123.89137","6.5","6.5","120.0","1-HR","ALL","1ST","UCART1","14010203.0"
