"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","19.49583","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701200.0","1445000.0","18.92521","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701300.0","1445000.0","18.33258","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701400.0","1445000.0","17.72269","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701500.0","1445000.0","17.09805","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701600.0","1445000.0","16.46201","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701700.0","1445000.0","15.81742","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701800.0","1445000.0","15.16399","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010311.0"
"701900.0","1445000.0","15.70422","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702000.0","1445000.0","16.51184","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702100.0","1445000.0","17.33548","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702200.0","1445000.0","18.1735","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702300.0","1445000.0","19.02416","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702400.0","1445000.0","19.88561","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702500.0","1445000.0","20.75586","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702600.0","1445000.0","21.63284","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702700.0","1445000.0","22.51437","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702800.0","1445000.0","23.39819","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"702900.0","1445000.0","24.28198","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703000.0","1445000.0","25.16335","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703100.0","1445000.0","26.03987","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703200.0","1445000.0","26.90909","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703300.0","1445000.0","27.76853","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703400.0","1445000.0","28.61571","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703500.0","1445000.0","29.44818","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703600.0","1445000.0","30.26351","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703700.0","1445000.0","31.0593","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703800.0","1445000.0","31.83325","0.0","0.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"703900.0","1445000.0","32.5832","0.3","0.3","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"704000.0","1445000.0","33.31052","4.7","4.7","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"704100.0","1445000.0","34.0083","5.0","5.0","400.0","1-HR","ALL","1ST","UCART1","14010310.0"
"704200.0","1445000.0","35.37726","0.9","0.9","400.0","1-HR","ALL","1ST","UCART1","14010810.0"
"704300.0","1445000.0","37.71229","6.2","6.2","400.0","1-HR","ALL","1ST","UCART1","14010810.0"
"704400.0","1445000.0","39.9529","6.7","6.7","400.0","1-HR","ALL","1ST","UCART1","14010810.0"
"704500.0","1445000.0","42.05571","5.4","5.4","400.0","1-HR","ALL","1ST","UCART1","14010810.0"
