"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","120.31862","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701200.0","1445000.0","82.45161","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701300.0","1445000.0","83.44717","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701400.0","1445000.0","80.28642","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701500.0","1445000.0","73.37196","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","64.07938","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","54.30194","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701800.0","1445000.0","45.70493","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701900.0","1445000.0","52.74106","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","65.85244","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","69.15841","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","76.77045","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","79.59036","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","76.21009","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702500.0","1445000.0","67.13569","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702600.0","1445000.0","65.25408","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702700.0","1445000.0","73.60701","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010503.0"
"702800.0","1445000.0","84.70501","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010220.0"
"702900.0","1445000.0","76.23996","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010705.0"
"703000.0","1445000.0","96.06315","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010705.0"
"703100.0","1445000.0","73.91873","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010221.0"
"703200.0","1445000.0","89.63418","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703300.0","1445000.0","61.74333","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703400.0","1445000.0","59.39512","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010301.0"
"703500.0","1445000.0","54.15392","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703600.0","1445000.0","61.87228","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010105.0"
"703700.0","1445000.0","68.55113","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010105.0"
"703800.0","1445000.0","77.90839","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010105.0"
"703900.0","1445000.0","74.23153","0.3","0.3","90.0","1-HR","ALL","1ST","UCART1","14010105.0"
"704000.0","1445000.0","68.89043","4.7","4.7","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704100.0","1445000.0","80.83085","5.0","5.0","90.0","1-HR","ALL","1ST","UCART1","14010102.0"
"704200.0","1445000.0","79.41273","0.9","0.9","90.0","1-HR","ALL","1ST","UCART1","14010102.0"
"704300.0","1445000.0","79.13331","6.2","6.2","90.0","1-HR","ALL","1ST","UCART1","14010520.0"
"704400.0","1445000.0","79.44592","6.7","6.7","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704500.0","1445000.0","81.75688","5.4","5.4","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704600.0","1445000.0","83.90812","0.4","0.4","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704700.0","1445000.0","85.82926","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704800.0","1445000.0","87.54712","0.0","0.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"704900.0","1445000.0","89.05375","0.0","16.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705000.0","1445000.0","90.34929","4.2","16.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705100.0","1445000.0","91.42996","9.0","9.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705200.0","1445000.0","92.28414","12.6","12.6","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705300.0","1445000.0","92.89862","11.9","11.9","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705400.0","1445000.0","93.27976","9.2","9.2","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705500.0","1445000.0","93.45057","9.2","9.2","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705600.0","1445000.0","93.40482","7.4","7.4","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705700.0","1445000.0","93.16437","8.4","8.4","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705800.0","1445000.0","92.72527","7.3","7.3","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"705900.0","1445000.0","92.10349","5.4","5.4","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706000.0","1445000.0","91.30664","5.8","5.8","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706100.0","1445000.0","90.33876","4.2","4.2","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706200.0","1445000.0","89.20139","5.0","5.0","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706300.0","1445000.0","87.89633","7.6","7.6","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706400.0","1445000.0","86.46414","7.2","7.2","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706500.0","1445000.0","84.8972","7.8","7.8","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
"706600.0","1445000.0","83.24035","6.5","6.5","90.0","1-HR","ALL","1ST","UCART1","14010309.0"
