"X","Y","AVERAGE CONC","ZELEV","ZHILL","ZFLAG","AVE","GRP","RANK","NET ID","DATE(CONC)"
"701100.0","1445000.0","58.06468","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701200.0","1445000.0","54.03694","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701300.0","1445000.0","50.52804","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701400.0","1445000.0","47.60357","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010124.0"
"701500.0","1445000.0","27.13522","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701600.0","1445000.0","25.90317","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010602.0"
"701700.0","1445000.0","29.27687","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701800.0","1445000.0","35.55776","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"701900.0","1445000.0","41.4121","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702000.0","1445000.0","46.19091","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702100.0","1445000.0","49.37024","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702200.0","1445000.0","50.70569","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702300.0","1445000.0","50.33746","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702400.0","1445000.0","48.7724","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702500.0","1445000.0","46.77124","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702600.0","1445000.0","45.13811","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702700.0","1445000.0","44.43593","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"702800.0","1445000.0","46.65809","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010704.0"
"702900.0","1445000.0","48.29487","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010704.0"
"703000.0","1445000.0","52.07203","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010220.0"
"703100.0","1445000.0","52.21335","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703200.0","1445000.0","54.78373","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703300.0","1445000.0","56.10514","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703400.0","1445000.0","55.42202","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010104.0"
"703500.0","1445000.0","56.80139","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703600.0","1445000.0","59.61776","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703700.0","1445000.0","62.4158","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703800.0","1445000.0","65.17951","0.0","0.0","40.0","1-HR","ALL","1ST","UCART1","14010309.0"
"703900.0","1445000.0","67.87815","0.3","0.3","40.0","1-HR","ALL","1ST","UCART1","14010309.0"
